ecclesiam kathedralem,ecclesia kathedralis,tuomiokirkko
ecclesie,ecclesia,kirkko
ampnem,ampnis,joki
pontem,pons,silta
ortum,ortus,kasvimaa
granaria,granarium, vilja-aitta
fundiculum,fundiculus,tontti
ampnem,ampnis,joki
ampnem,ampnis,joki
fundicum,fundicus,tontti
ampnem,ampnis,joki
fundico,fundicus,tontti
gropena,gropen,krooppi
ana,an,joki
forum,forum,tori
torghet,torgith,tori
torget,torgith,tori
brøderclostret,brøderclostret,munkkiluostari
clostreno,clostret,luostari
ampnem,ampnis,joki
bood,bod,aitta
aana,an,joki
nyastadhen,nya stadhen, uusi kaupunki
fundico,fundicus,tontti
granarij,granarium,vilja-aitta
ampnem,ampnis,joki
fundico,fundicus,tontti
curie,curia,talo
plagam,plaga,ranta
ampnis,ampnis,joki
pontis,pons,silta
balneatorium,balneatorium,sauna
åån,an,joki
brooendhen,brooendhen,silta
badhstoffuu,badhstoffuu,sauna
brona,bron,silta
vico Tauastie,vicus Tauastie, Hämeenkatu
vico Tauastie,vicus Tauastie,Hämeenkatu
Tauastagathuna,Tauastgathen, Hämeenkatu
tompt,tompt,tontti
huson,hus,talo
kolgaardh,kolgardh,kasvimaa
gardhenom,gardh,talo
hwsen,hus,talo
curiam,curia,talo
ampnem,ampnis,joki
ana,an,joki
gathubodh,gathubodh, katupuoti
gatwna,gathan,katu
forum,forum,tori
taarghit,torgith,tori
grapena,gropen,krooppi
kiorkionne,kirkian,kirkko
forum,forum,tori
torgith,torgith,tori
torgith,torgith,tori
gatwna,gathan,katu
Grapena,gropen,krooppi
torgith,torgith,tori
torgith,torgith,tori
gropena,gropen,krooppi
kroppenne,gropen,krooppi
brona,bron,silta
Kyrkiogatunne,Kirkiegathen,Kirkkokatu
aana,an,joki
dikit,dikit,oja
aan,an,joki
clostret,clostret,luostari
gathun,gathan,katu
torghit,torgith,tori
broon,bron,silta
torghit,torgith,tori
ampnem,ampnis,joki
mansi,mansio,talo
aanne,an,joki
tompth,tompt,tontti
aana,an,joki
ana,an,joki
forum,forum,tori
ampnem,ampnis,joki
aana,an,joki
vico Tauastie,vicus Tauastie, Hämeenkatu
Tauaste gathunne,Tauastgathen,Hämeenkatu
kirkie gathunne,Kirkiegathen,Kirkkokatu
sancti Olaffs closther,sancti Olaffs clostret, Pyhän Olavin luostari
Mæthajærffuj,Mæthajærffuj,Mätäjärvi
Mæthaiærffuj,Mæthajærffuj,Mätäjärvi
Gropen,gropen,krooppi
ampnem,ampnis,joki
Woreffrv kirkio,Woreffrv kirkio, Neitsyt Marian kirkko
dykith,dikit,oja
ampnem,ampnis,joki
stranden,stranden,ranta
ampnem,ampnis,joki
stranden,stranden,ranta
ampnem,ampnis,joki
stranden,stranden,ranta
ampnem,ampnis,joki
aen,an,joki
Aensborgh,Aensborgh,Jokilinna
ana,an,joki
ana,an,joki
gathen,gathan,katu
ampnem,ampnis,joki
aana,an,joki
ampnem,ampnis,joki
ampnem,ampnis,joki
aana,an,joki
torgeth,torgith,tori
Kirkiogatwnne,Kirkiegathen,Kirkkokatu
vico Tauastie,vicus Tauastie,Hämeenkatu
Tauaste gathwnne,Tauastgathen,Hämeenkatu
ampnem,ampnis,joki
vico ecclesie,vicus ecclesie,Kirkkokatu
clostridh,clostret,luostari
Fæægathen,Fægathan,Karjakatu
Fægathunne,Fægathan,Karjakatu
Offuergathen,Offuergathen,FIXME:Ylinenkatu
gatthen,gathan,katu
Wordbærgit,Wordbærgit,Vartiovuori
Kirkiegathen,Kirkiegathen,Kirkkokatu
Tauastgathen,Tauastgathen,Hämeenkatu
commvne,communis,kommuuni
Aagathan,Aagathan,Jokikatu
Fagatan,Fægathan,Karjakatu
Tawestgathwn,Tauastgathen,Hämeenkatu
Fægathan,Fægathan,Karjakatu
Fægathan,Fægathan,Karjakatu
Fægathen,Fægathan,Karjakatu
Gropen,gropen,krooppi
Fægaten,Fægathan,Karjakatu
Gropen,gropen,krooppi
foro,forum,tori
publico foro,publicum forum,tori
